Avg,Left before being seen,FIPS,Facility ID,State,County Name,FIPS_code,PCTPOVALL_2020
,,4012,31307,AZ,LAPAZ,4012,20.8
122,0,54089,511310,WV,SUMMERS,54089,21.1
177,,36047,330196,NY,KINGS,36047,17.8
164,0,6059,50678,CA,ORANGE,6059,9
154,0,31055,280130,NE,DOUGLAS,31055,9.8
,,32003,290042,NV,CLARK,32003,13.2
134,0,53049,501314,WA,PACIFIC,53049,13.6
,,53053,503301,WA,PIERCE,53053,8.7
156,1,37145,340159,NC,PERSON,37145,13.5
106,0,30095,271330,MT,STILLWATER,30095,7.8
118,3,37023,340075,NC,BURKE,37023,18.4
111,0,20071,171359,KS,GREELEY,20071,10
,,6037,50785,CA,LOS ANGELES,6037,13.2
136,,30093,270017,MT,SILVER BOW,30093,13.2
179,1,29189,260020,MO,ST. LOUIS,29189,9.1
134,0,27049,240018,MN,GOODHUE,27049,7.2
170,2,41033,380002,OR,JOSEPHINE,41033,15.8
260,1,6029,50724,CA,KERN,6029,18.3
272,5,33011,300012,NH,HILLSBOROUGH,33011,7.1
172,3,29083,260175,MO,HENRY,29083,13.6
117,,2261,21307,AK,VALDEZ-CORDOVA,,
70,0,29011,261325,MO,BARTON,29011,16.6
159,0,51059,490122,VA,FAIRFAX,51059,5.3
187,3,1003,10129,AL,BALDWIN,1003,8.9
146,0,19013,160110,IA,BLACK HAWK,19013,12.2
163,1,6037,50124,CA,LOS ANGELES,6037,13.2
109,,31141,281312,NE,PLATTE,31141,6.6
113,0,20119,171321,KS,MEADE,20119,9.3
213,0,1117,10016,AL,SHELBY,1117,7
119,0,,151323,IN,LAGRANGE,,
164,2,13119,110027,GA,FRANKLIN,13119,16.3
107,0,20165,171342,KS,RUSH,20165,11.2
,,28017,250017,MS,CHICKASAW,28017,24.8
,,72113,400044,PR,PONCE,,
87,,40107,371333,OK,OKFUSKEE,40107,21.7
,,41057,381317,OR,TILLAMOOK,41057,10.8
169,1,35013,320018,NM,DONA ANA,35013,20.5
112,,26045,231324,MI,EATON,26045,7.8
,,16059,131305,ID,LEMHI,16059,15.3
223,2,6077,50167,CA,SAN JOAQUIN,6077,13.9
192,2,17163,140185,IL,ST. CLAIR,17163,13.8
146,2,,190316,LA,E. BATON ROUGE,,
159,0,42129,390145,PA,WESTMORELAND,42129,9.3
164,1,51660,490004,VA,HARRISONBURG CITY,51660,22.2
,,4013,30131,AZ,MARICOPA,4013,11.6
115,2,21055,180095,KY,CRITTENDEN,21055,16.8
116,0,56041,530032,WY,UINTA,56041,8.5
,,55083,521310,WI,OCONTO,55083,7.6
171,3,6059,50580,CA,ORANGE,6059,9
130,1,26139,230003,MI,OTTAWA,26139,6.7
148,0,17005,140137,IL,BOND,17005,10.8
183,1,34003,310058,NJ,BERGEN,34003,6.4
114,0,6037,50736,CA,LOS ANGELES,6037,13.2
,,55035,520196,WI,EAU CLAIRE,55035,9.8
124,1,41059,381325,OR,UMATILLA,41059,11.7
108,,46047,431322,SD,FALL RIVER,46047,15.4
119,0,42107,390332,PA,SCHUYLKILL,42107,12.7
141,1,40109,370013,OK,OKLAHOMA,40109,15.2
134,1,23029,201311,ME,WASHINGTON,23029,12
137,,2122,21302,AK,KENAI PENINSULA,2122,10.6
100,0,38069,351332,ND,PIERCE,38069,11
187,0,36085,330028,NY,RICHMOND,36085,10.6
101,0,15003,120004,HI,HONOLULU,15003,8
175,3,41025,381307,OR,HARNEY,41025,12.6
140,2,54029,510023,WV,HANCOCK,54029,12
166,3,19179,160089,IA,WAPELLO,19179,15.5
186,2,53033,500025,WA,KING,53033,7.6
174,2,29213,260094,MO,TANEY,29213,15.6
164,1,27015,241378,MN,BROWN,27015,6.8
